gender,genderLooking,age,agecode,counts_pictures,counts_profileVisits,counts_kisses,counts_fans,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,fanCat,kissesCat,profilevisitsCat,picturesCat
Female,Male,20,under21,10,25724,862,0,true,false,false,0,3,4,2
Female,Male,21,under21,2,7951,277,0,false,false,true,0,3,4,1
Female,Male,20,under21,5,6256,137,8,true,true,true,1,3,4,2
Female,Male,21,under21,4,13493,481,2,false,false,true,1,3,4,1
Female,Male,20,under21,19,22291,640,1,true,true,false,1,3,4,2
Female,Male,22,over21,8,22705,942,4,true,false,false,1,3,4,2
Female,Male,20,under21,6,18459,1106,0,true,false,true,0,3,4,2
Female,Male,21,under21,22,13070,618,0,false,true,false,0,3,4,2
Female,Male,24,over21,4,18114,1346,3,true,true,true,1,3,4,1
Female,Male,21,under21,2,1002,41,0,true,true,false,0,2,2,1
Female,Male,24,over21,8,8009,271,22,true,true,true,1,3,4,2
Female,Male,24,over21,8,24428,889,7,true,false,false,1,3,4,2
Female,Male,22,over21,6,15870,906,25,true,false,false,1,3,4,2
Female,Male,21,under21,3,5208,217,5,false,false,true,1,3,4,1
Female,Male,24,over21,6,21488,520,0,true,true,false,0,3,4,2
Female,Male,21,under21,7,12006,339,0,true,true,false,0,3,4,2
Female,Male,20,under21,14,32455,1925,8,true,true,true,1,3,4,2
Female,Male,24,over21,14,2574,79,13,true,true,true,1,2,3,2
Female,Both,22,over21,8,6029,200,2,true,true,true,1,3,4,2
Female,Male,22,over21,3,28,4,0,false,true,false,0,1,1,1
Female,Male,20,under21,4,4259,151,8,false,true,true,1,3,4,1
Female,Male,22,over21,1,12359,239,0,false,false,false,0,3,4,1
Female,Male,22,over21,26,13894,317,1,true,true,false,1,3,4,2
Female,Male,22,over21,10,13420,926,6,true,false,false,1,3,4,2
Female,Male,23,over21,15,34282,2135,0,true,true,true,0,3,4,2
Female,Male,23,over21,4,8938,275,0,true,true,false,0,3,4,1
Female,Male,20,under21,6,7451,132,0,true,true,true,0,3,4,2
Female,Male,21,under21,5,7256,157,2,true,true,true,1,3,4,2
Female,Male,23,over21,9,4688,168,1,true,true,true,1,3,4,2
